source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,url
Donald J. Trump,,"1,марта,в,04:48",Great news! GDP growth increased by 3.1% year-over-year in 2018 beating expectations for the fourth quarter. This is the largest increase since 2005. America is Back!,46 тыс.,38 тыс.,685,"6,6 тыс.",198,13,55,Комментарии: 4 572,/story.php?story_fbid=10162222441045725&id=153080620724
Donald J. Trump,,"1,марта,в,22:05",The Fake News Media only cares about their radical left-wing political agenda!,19 тыс.,16 тыс.,703,976,177,339,475,Комментарии: 2 263,/story.php?story_fbid=10162222205390725&id=153080620724
Donald J. Trump,,"3,марта,в,19:34",We are putting Americans back to work!,42 тыс.,36 тыс.,469,"4,8 тыс.",69,8,31,Комментарии: 2 880,/story.php?story_fbid=10162232623110725&id=153080620724
Donald J. Trump,,"28,февраля,в,03:35",Our relationship with North Korea is the best it has ever been! The media WILL NOT give us credit for the progress that has been made.,37 тыс.,32 тыс.,805,"4,5 тыс.",114,43,76,Комментарии: 4 089,/story.php?story_fbid=10162217492310725&id=153080620724
Donald J. Trump,,"28,февраля,в,21:51",I had a very productive summit with Chairman Kim in Vietnam. But sometimes you need to be prepared to walk!,27 тыс.,23 тыс.,741,3 тыс.,75,53,46,Комментарии: 3 981,/story.php?story_fbid=10162221058185725&id=153080620724
Donald J. Trump,,"28,февраля,в,23:56","Thank you for the hospitality, Vietnam!",45 тыс.,38 тыс.,601,"6,4 тыс.",136,13,36,Комментарии: 2 940,/story.php?story_fbid=10162221120125725&id=153080620724
Donald J. Trump,,"28,февраля,в,04:32",I look forward to continuing my dialogue with Chairman Kim at the rest of our summit!,36 тыс.,31 тыс.,713,"4,4 тыс.",106,16,48,Комментарии: 4 528,/story.php?story_fbid=10162217469600725&id=153080620724
Donald J. Trump,,"27,февраля,в,20:24",It is great to be with Chairman Kim again. I look forward to a successful second summit!,37 тыс.,31 тыс.,772,"4,5 тыс.",133,11,63,Комментарии: 3 919,/story.php?story_fbid=10162216865880725&id=153080620724
Donald J. Trump,,"27,февраля,в,22:29",Big trade deal signed with the country of Vietnam. Another huge win for America!,75 тыс.,63 тыс.,727,10 тыс.,343,12,46,Комментарии: 4 715,/story.php?story_fbid=10162217260080725&id=153080620724
Donald J. Trump,,"28,февраля,в,00:28","For 40 years, past presidents did NOTHING with regard to North Korea. My administration is making BIG progress!",116 тыс.,100 тыс.,"2,2 тыс.",14 тыс.,296,17,83,Комментарии: 8 218,/story.php?story_fbid=10162217117900725&id=153080620724
Donald J. Trump,,"28,февраля,в,02:15",Vietnam is one of the fastest growing economies in the world. North Korea has the same wonderful potential for economic success!,26 тыс.,23 тыс.,573,"2,9 тыс.",131,7,36,Комментарии: 2 510,/story.php?story_fbid=10162217390230725&id=153080620724
